2,H,1.00784,,,,,,,,,,,
3,H2,2.01568,,,,,,,,,,,
6,CH,13.01854,,,,,,,,,,,
7,C,12.0107,,,,,,,,,,,
8,C2,24.0214,,,,,,,,,,,
9,C3,36.0321,,,,,,,,,,,
10,C4,48.0428,,,,,,,,,,,
11,C5,60.0535,,,,,,,,,,,
14,CH3,15.03422,,,,,,,,,,,
15,CH4,16.04206,,,,,,,,,,,
16,C2H,25.02924,,,,,,,,,,,
17,C2H2,26.03708,,,,,,,,,,,
18,C2H3,27.04492,,,,,,,,,,,
19,C2H4,28.05276,,,,,,,,,,,
20,C2H5,29.0606,,,,,,,,,,,
21,C2H6,30.06844,,,,,,,,,,,
22,C3H3,39.05562,,,,,,,,,,,
23,C3H5,41.0713,,,,,,,,,,,
24,C3H6,42.07914,,,,,,,,,,,
25,C3H7,43.08698,,,,,,,,,,,
26,C3H8,44.09482,,,,,,,,,,,
32,CH3C2H,40.06346,,,,,,,,,,,
33,CH2CCH2,40.06346,,,,,,,,,,,
34,C6H5C2H,102.13264,,,,,,,,,,,
35,C4H,49.05064,,,,,,,,,,,
36,C4H2,50.05848,,,,,,,,,,,
37,C4H3,51.06632,,,,,,,,,,,
38,C4H4,52.07416,,,,,,,,,,,
39,C4H5,53.082,,,,,,,,,,,
40,C4H6,54.08984,,,,,,,,,,,
41,C4H7,55.09768,,,,,,,,,,,
42,C4H8,56.10552,,,,,,,,,,,
43,C4H9,57.11336,,,,,,,,,,,
44,C4H10,58.1212,,,,,,,,,,,
46,C5H,61.06134,,,,,,,,,,,
47,C5H2,62.06918,,,,,,,,,,,
48,C5H3,63.07702,,,,,,,,,,,
49,C5H4,64.08486,,,,,,,,,,,
50,C5H5,65.0927,,,,,,,,,,,
51,C5H6,66.10054,,,,,,,,,,,
52,C5H7,67.10838,,,,,,,,,,,
53,C5H8,68.11622,,,,,,,,,,,
54,C5H9,69.12406,,,,,,,,,,,
55,C5H10,70.1319,,,,,,,,,,,
56,C5H11,71.13974,,,,,,,,,,,
57,C5H12,72.14758,,,,,,,,,,,
58,C6H,73.07204,,,,,,,,,,,
59,C6H2,74.07988,,,,,,,,,,,
60,C6H3,75.08772,,,,,,,,,,,
61,C6H4,76.09556,,,,,,,,,,,
62,C6H5,77.1034,,,,,,,,,,,
63,C6H6,78.11124,,,,,,,,,,,
64,C6H7,79.11908,,,,,,,,,,,
65,C6H8,80.12692,,,,,,,,,,,
66,C6H9,81.13476,,,,,,,,,,,
67,C6H10,82.1426,,,,,,,,,,,
68,C6H11,83.15044,,,,,,,,,,,
69,C6H12,84.15828,,,,,,,,,,,
70,C6H13,85.16612,,,,,,,,,,,
71,C6H14,86.17396,,,,,,,,,,,
72,C7H3,87.09842,,,,,,,,,,,
73,C7H4,88.10626,,,,,,,,,,,
74,C7H5,89.1141,,,,,,,,,,,
75,C7H6,90.12194,,,,,,,,,,,
76,C7H7,91.12978,,,,,,,,,,,
77,C7H9,93.14546,,,,,,,,,,,
78,C7H10,94.1533,,,,,,,,,,,
79,C8H,97.09344,,,,,,,,,,,
80,C8H2,98.10128,,,,,,,,,,,
81,C8H3,99.10912,,,,,,,,,,,
82,C8H4,100.11696,,,,,,,,,,,
83,C8H5,101.1248,,,,,,,,,,,
85,N,14.0067,,,,,,,,,,,
86,N2,28.0134,,,,,,,,,,,
92,N3+,42.0201,,,,,,,,,,,
93,N4+,56.0268,,,,,,,,,,,
94,NH,15.01454,,,,,,,,,,,
95,NH2,16.02238,,,,,,,,,,,
96,NH3,17.03022,,,,,,,,,,,
97,N2H,29.02124,,,,,,,,,,,
98,N2H2,30.02908,,,,,,,,,,,
99,N2H3,31.03692,,,,,,,,,,,
100,N2H4,32.04476,,,,,,,,,,,
103,CN,26.0174,,,,,,,,,,,
104,CN2,40.0241,,,,,,,,,,,
105,HCN,27.02524,,,,,,,,,,,
106,H2CN,28.03308,,,,,,,,,,,
108,CHCN,39.03594,,,,,,,,,,,
109,HC3N,51.04664,,,,,,,,,,,
110,HC4N,63.05734,,,,,,,,,,,
111,HC5N,75.06804,,,,,,,,,,,
112,HC7N,99.08944,,,,,,,,,,,
113,CH3CN,41.05162,,,,,,,,,,,
114,CH2CN,40.04378,,,,,,,,,,,
115,CH3NH,30.04876,,,,,,,,,,,
116,CH3NH2,31.0566,,,,,,,,,,,
117,CH2NH,29.04092,,,,,,,,,,,
118,C2N,38.0281,,,,,,,,,,,
119,C3N,50.0388,,,,,,,,,,,
120,C4N,62.0495,,,,,,,,,,,
121,C5N,74.0602,,,,,,,,,,,
122,C2N2,52.0348,,,,,,,,,,,
123,C4N2,76.0562,,,,,,,,,,,
124,C6N2,100.0776,,,,,,,,,,,
125,HC4N2,77.06404,,,,,,,,,,,
126,H2CNCN,54.05048,,,,,,,,,,,
127,H2C3N,52.05448,,,,,,,,,,,
128,H2C5N,76.07588,,,,,,,,,,,
129,HCNN,41.03194,,,,,,,,,,,
130,H2CNN,42.03978,,,,,,,,,,,
131,HC2N2,53.04264,,,,,,,,,,,
132,C2H3CN,53.06232,,,,,,,,,,,
133,C2H4CN,54.07016,,,,,,,,,,,
134,C2H5CN,55.078,,,,,,,,,,,
135,C2H3NH,42.05946,,,,,,,,,,,
136,C2H3NH2,43.0673,,,,,,,,,,,
137,C2H3C3N,77.08372,,,,,,,,,,,
138,C2H3C5N,101.10512,,,,,,,,,,,
139,HNCNH,42.03978,,,,,,,,,,,
140,NCCHNH,54.05048,,,,,,,,,,,
141,HNCCHCN,66.06118,,,,,,,,,,,
